,CountryName,RegionName,Jurisdiction,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,cases,R_mean,R_var,Q0.025,Q0.5,Q0.975
2020-02-29,Afghanistan,,1,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.2608372822801184,0.058117277864578765,0.8342073032014212,1.2446042351908377,1.7764889740460648
2020-03-01,Afghanistan,,1,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.2507871760290865,0.05491732953934952,0.8387877824697341,1.2363051779481036,1.7550607648106733
2020-03-02,Afghanistan,,1,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.2598340075817451,0.05272140069090751,0.8502116737411644,1.2463333464015083,1.7525177414774353
2020-03-03,Afghanistan,,1,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.2917325677986913,0.05221805159510939,0.8833273066925573,1.2777852034164008,1.7864579104254625
2020-03-04,Afghanistan,,1,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.3540411197170554,0.05231587176840749,0.9415115719763869,1.342621906557112,1.8412316840679983
2020-03-05,Afghanistan,,1,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.4321815235613236,0.053944002428679326,1.017148278743035,1.4205023745816416,1.9127296839467978
2020-03-06,Afghanistan,,1,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.5311483479755488,0.0538242358812107,1.1088097547470666,1.519462474186094,2.0231734455230623
2020-03-07,Afghanistan,,1,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.630098493010844,0.052928925553811706,1.1985467427573608,1.6192301751154887,2.1071306397915572
2020-03-08,Afghanistan,,1,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.68674625265239,0.04885893322239232,1.2733916915809331,1.6770135516291576,2.155259301261755
2020-03-09,Afghanistan,,1,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.7018122018585555,0.04380146366312966,1.3115833970533688,1.6933136905526414,2.1292786592490054
