CountryName,CountryCode,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Taiwan,TWN,20200108,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200109,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200110,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200111,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200112,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200113,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200114,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200115,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200116,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200117,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200118,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200119,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,0,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,8.33,8.33,13.1,13.1,4.69,4.69,5.36,5.36,0,0
Taiwan,TWN,20200120,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,2,1,1,0,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,13.89,13.89,17.86,17.86,9.9,9.9,11.31,11.31,0,0
Taiwan,TWN,20200121,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,2,1,1,2,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,13.89,13.89,17.86,17.86,16.15,16.15,18.45,18.45,0,0
Taiwan,TWN,20200122,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,2,1,1,2,0,0,0,,0,,0,,,0,0,,,,,,,0,,1,0,13.89,13.89,17.86,17.86,16.15,16.15,18.45,18.45,0,0
Taiwan,TWN,20200123,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,0,,0,,,0,0,,,,,,,0,,1,0,19.44,19.44,25,25,19.27,19.27,22.02,22.02,0,0
Taiwan,TWN,20200124,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,3,0,19.44,19.44,25,25,20.83,20.83,23.81,23.81,0,0
Taiwan,TWN,20200125,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,3,0,19.44,19.44,25,25,20.83,20.83,23.81,23.81,0,0
Taiwan,TWN,20200126,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,4,0,19.44,19.44,25,25,20.83,20.83,23.81,23.81,0,0
Taiwan,TWN,20200127,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,5,0,19.44,19.44,25,25,20.83,20.83,23.81,23.81,0,0
Taiwan,TWN,20200128,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,8,0,19.44,19.44,25,25,20.83,20.83,23.81,23.81,0,0
Taiwan,TWN,20200129,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,8,0,19.44,19.44,25,25,20.83,20.83,23.81,23.81,0,0
Taiwan,TWN,20200130,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,9,0,19.44,19.44,25,25,20.83,20.83,23.81,23.81,0,0
Taiwan,TWN,20200131,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,10,0,19.44,19.44,25,25,20.83,20.83,23.81,23.81,0,0
Taiwan,TWN,20200201,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,10,0,19.44,19.44,25,25,20.83,20.83,23.81,23.81,0,0
Taiwan,TWN,20200202,3,1,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,10,0,30.56,30.56,39.29,39.29,27.08,27.08,30.95,30.95,0,0
Taiwan,TWN,20200203,3,1,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,10,0,30.56,30.56,39.29,39.29,27.08,27.08,30.95,30.95,0,0
Taiwan,TWN,20200204,3,1,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,11,0,30.56,30.56,39.29,39.29,27.08,27.08,30.95,30.95,0,0
Taiwan,TWN,20200205,3,1,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,11,0,30.56,30.56,39.29,39.29,27.08,27.08,30.95,30.95,0,0
Taiwan,TWN,20200206,3,1,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,1,1,0,,0,,,0,0,,,,,,,0,,16,0,30.56,30.56,39.29,39.29,27.08,27.08,30.95,30.95,0,0
