Country,R2,shift,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary)
Austria,0.9573,0,0.0022630358789526308,0.009319265696249553,0.00641697720898501,0.0037144625769443443,0.00815882999263149,0.004118923353279645,0.004858883318430936,0.0018699457110354773,0.001754633807588404,0.002188520984040468,0.0036042352319831197,0.007475422376903215,0.005578759231694023,0.0,0.0,0.019505309072434224,0.006585819821990588,0.005210134482966536,0.1469981034182175,0.006377952202860089,0.0017133868370719483,0.0035830460382866554,0.004267381113857327,0.0021974640041808086,0.0027821940966185226,0.0009235128506742107,0.00018761629552584608,0.008891021981412903,0.07106518569387683,0.06715031313683965,0.0,0.0519348716100937,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,0.9076,1,0.0010029796904351288,0.0007637890681213107,0.002321189255230842,0.003313939036129708,0.0007250255475401376,0.0014155388162091563,0.0005513031024090487,0.000600263013606896,0.0011799922884458607,0.0,0.0,0.0,0.0,0.0,0.10666952122971177,0.0,0.009926898512526771,0.0074765964895832345,0.034781989028749086,0.0011707356918846164,0.0013988529559540693,0.00543970993264294,0.0030972572980770222,0.0,0.0008967018075292211,0.00036659911473948945,0.0,0.006791642984424525,0.009128034819781613,0.038547037932979304,0.004763462031568328,0.04121215265934375,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,0.9607,2,0.0,0.0,0.0,0.0,0.04443559989834664,0.008118622442905551,0.00728615157686717,0.005958437392744739,0.0,0.0,0.0,0.0,0.0,0.05758702293350335,0.0,0.0,0.0,0.0,0.0,0.0011067198409372328,0.0,0.0,0.0,0.0,0.0,0.006902587570777342,0.0018135103335930683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,0.9846,2,0.005569952766466614,0.004545845789632411,0.008652163059781027,0.004664496240888236,0.009581141229324498,0.010295597609512201,0.009904892883188295,0.004433758238323577,0.002264860743267196,0.00551250742702143,0.001677513002276307,0.005850211736904231,0.0014921162235064427,0.005559262244001745,0.012509762671411373,0.0,0.0,0.1801331319296883,0.13720872784114116,0.009330079571661074,0.013151777959301485,0.00093346713713056,0.0174885755835698,0.005705162269821332,0.010822518332318499,0.012257829478350664,0.0045402843230693615,0.0,0.0,0.023036620012213124,0.06068788346227206,0.012731593761077537,0.023453271039690585,0.0,0.0,0.0,0.0,0.0
Colombia,0.9823,17,0.000697497016948258,0.0036060965932834337,0.001142153909850971,0.00028821172326696983,0.0015074795249984117,0.0001200287103631175,0.0050445836101684315,0.0008672563355868905,0.00261074943422445,0.002162015029494578,0.0034256816019401708,0.005489077763368003,0.007760179556621161,0.001062763847493102,0.0004320166780627114,0.0,0.0,0.0007908395402397324,0.0,0.0011405406523975186,0.0007589100426162201,0.013421665263486543,0.00731951163236736,0.001345672706012345,0.01141871934995138,0.0028738257087599357,0.002269720209793941,0.0017608696180391806,0.0017706013650622028,0.0019307341230813406,0.0,0.003102683128629132,0.0011788768567973125,0.0,0.013103790776594952,0.0008410449747878666,0.0021037273696735393,0.0
Argentina,0.9629,19,0.0017257995537659804,0.001079679013716684,0.000225022144349931,4.158501321660563e-06,0.0003948450049032577,0.00038957845766930476,0.0008010532250391561,0.0002214194295417267,0.0034504712047901892,0.0008202851811780526,0.004085411129323429,0.0012255115709792117,0.005254834596633036,0.0019879513687638167,0.000441140922638804,0.00032175460006979376,0.0,0.0,0.02971625635159576,0.000333092766214827,0.0016114397094496107,0.007403073676062367,0.0,0.0025065013296720422,0.0038321163259476872,0.0019328841278168397,0.000601851299273012,0.0019590176118178424,0.0007956609468663955,0.0030980948687505715,0.0,0.001996050028540384,2.7824779755248993e-05,0.0,0.0034512383689245074,0.00300991686822573,0.0,0.0
Burkina Faso,0.7119,19,0.005779869739651061,0.00019575036872648447,3.154934185561914e-05,0.000985700900653797,0.004688619739834829,0.0032376923830968996,0.0003492567785058672,0.0027943199015929565,0.0,0.010504491332985609,8.359901621834127e-07,0.0005471879468570137,0.0,0.0,5.5666048777784294e-05,0.0,0.0,0.0,0.0,0.0,0.0019398114710125812,0.00017470940656516665,0.0015361816761939808,0.0,0.00665877501443432,4.0189060368824446e-05,0.0,0.00515500666336482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,0.9150,3,0.014420985760558561,0.0017799816955607528,9.963811037983099e-05,1.2465484706690114e-05,0.0001746985759568486,0.0,0.0,0.0002738348168099103,0.000628567548710257,0.0010879766342389663,0.05396180778250666,0.0,0.0,0.0002937103448555898,0.0,0.0023133177612978135,0.0,0.0029824774991566456,5.917020569580484e-05,0.0,0.07530601924053103,0.0020748791026777126,0.00026150551070256686,0.0,4.760057546028727e-06,3.255801435845998e-05,0.0,3.509018321929139e-05,0.0,0.0,0.0017282495998883777,0.0,0.0,0.0003295609042114277,0.0,0.0,0.0,0.0
Israel,0.9485,0,0.002503254318528897,0.0010402960009035934,0.0015583388556951036,0.0009058442167296581,0.000985520099687075,0.0020403689972500463,0.015544812693955454,0.0015460794402624703,0.0023855791848874266,0.0018261110093598612,0.0007823186724093852,0.010101840987095387,0.0017521619047749949,0.0,0.0,0.0045541189710211925,0.003720003933224506,0.0025366026928032586,0.09966343184682096,0.009971052741529911,0.005593275275140178,0.001647668148102341,0.002849210157598165,0.001695958642944819,0.0075488662144845295,0.008079241272572911,0.0,0.003467261820000118,0.0015533206500476968,0.152216380562058,0.007810164150073133,0.05586845993432565,0.010218686598792846,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.7923,12,0.001628739544465641,0.0017068915491317645,0.001050044229021531,0.0021029337774458403,0.0035506056137178887,0.000561627279080093,0.0018794854990313522,0.0006424640580929035,0.0,0.0,0.0019012929713969002,0.0,0.0,0.0030609258587702267,0.0025690004281842403,0.003142476700060642,0.0032404904218234056,0.003954168380288358,0.0020342589640944125,0.002191994458700724,0.0,0.0011209674698145005,0.002482588096685484,0.0,1.4217785808437187e-05,0.0007365793429664765,0.0016090944633543596,0.005709151302826074,0.02277830294464931,0.002493071232413208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
