Country,R2,shift,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary)
Austria,0.9573,0,-0.5773708259403507,-0.47329839334649454,-0.8145912432552349,-0.9342354305501757,-0.7541065374595824,-0.47757318823126876,-0.6995566854652049,-0.4840540067544278,-0.6468209706050262,-0.7757817172052233,-0.9686907871899472,0.31332227582846855,0.29693542763779535,0.0,0.0,-0.6258288280630215,-0.9983552419837678,0.0,0.0,-0.5764872730822771,-0.7596487288927711,0.014544749217021542,0.8019773557139914,0.6317494587409447,-0.865115554073512,-0.7611161363831003,-0.9267988878509806,0.1693813603298468,0.926374703866231,0.9547915654620602,0.0,-0.9826119910291872,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,0.9076,1,0.4984724792973105,0.9106335752540402,-0.8224506888069845,-0.9745938014308339,-0.8848110302836156,-0.9670796019091809,-0.05780409404788856,-0.927219123847355,0.9276253238494444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9551920229323967,-0.9891342396972994,0.0,-0.9732839329038677,0.0,-0.916448714010518,0.841039160318609,0.0,0.7888792817406638,-0.9326589782667634,0.9575655234723021,0.9644115551857908,0.9593218387177251,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,0.9607,2,0.0,0.0,0.0,0.0,-0.9017909917492551,-0.2468414391264669,-0.09124660896053122,0.6149118489271961,0.0,0.0,0.0,0.0,0.0,-0.21742399110848626,0.0,0.0,0.0,0.0,0.0,0.14019592673062467,0.0,0.0,0.0,0.0,0.0,-0.953672091518249,-0.38809359289453593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,0.9846,2,-0.8139390023717841,-0.6697374367867377,-0.9569450274559466,-0.7302971775072282,-0.9710309949400548,-0.8949948551883707,-0.9789618890071938,-0.8163775615155057,-0.46112285301623973,-0.9205232887319709,-0.8813236727264899,-0.9777715403060273,-0.8185800514529706,-0.8428017732807552,-0.9894099332865103,0.0,0.0,0.0,0.0,-0.9156206875201024,-0.9542449076635734,-0.02748703445277852,-0.8485079967544509,-0.9068391928591496,0.975154249970496,-0.9774376867110568,-0.6506603499347113,0.0,0.0,-0.9098551131743953,-0.985573541267994,-0.9716298334952808,0.9401424578609614,0.0,0.0,0.0,0.0,0.0
Colombia,0.9823,17,0.8213996661567375,0.809206794957693,0.97555917039034,-0.4913298837144879,0.10224681189817252,0.5398974280058219,-0.9957383165923844,-0.42145124935840883,-0.7427023148505651,0.37306798607926767,0.782517079124512,-0.9212506815230262,-0.9512911911264822,-0.9225718399208613,-0.7452947666020868,0.0,0.0,0.0,0.0,0.07241202804062771,-0.9379003172747585,0.0,0.588143196902649,0.06832478886848822,-0.9018867078007211,-0.9902879292698216,0.9356556029502344,-0.9354147122630914,-0.9203441506645466,-0.8725351223204708,0.0,-0.8869992980705487,0.9247133458889841,0.0,0.9979279465496097,-0.8730244502756003,0.9800223128491613,0.0
Argentina,0.9629,19,0.6442473233408523,0.6573887410340928,-0.1267195901250253,-0.7039106796047544,-0.9775167573882225,-0.8464383318666485,-0.5149280407783589,-0.8865788745841556,0.5460052139734332,-0.740671343008805,0.6995296658189818,-0.876178709507959,0.842156448953517,-0.9414151393600558,-0.7793451739545837,-0.7190231956071494,0.0,0.0,0.0,0.2481286071988631,-0.9625082025344995,0.9403291630392456,0.0,-0.9534470925810906,-0.9308256340719514,0.9800233251702569,0.6585574307092306,0.0,-0.9028432420886727,-0.947451140598079,0.0,0.8890090821746308,-0.8198223919157221,0.0,0.9561741197360301,-0.9350930109279704,0.0,0.0
Burkina Faso,0.7119,19,0.4589619950009873,-0.8930675852841161,-0.9458893028053097,-0.33519457558402366,-0.7439508587782871,-0.887028163102832,0.9035446362081644,-0.6353837862325177,0.0,-0.9263434382999428,-0.9225638410094319,0.6739148720943936,0.0,0.0,-0.9890423679228973,0.0,0.0,0.0,0.0,0.0,0.8808280393284356,0.0,0.4283445586683385,0.0,0.6308251257360831,0.3747723656151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,0.9150,3,-0.22520989679916112,-0.382377231702917,0.646320775299159,0.9078387948245246,-0.24566921989579601,0.0,0.0,0.7274036944117421,0.5676559973699854,-0.8500409741110484,-0.7282392693121358,0.0,0.0,-0.23599305680678315,0.0,0.03265152375415291,0.0,0.0,0.0,0.0,-0.8718213414705707,0.0,-0.8645587341450003,0.0,-0.9162292271935668,-0.9398744702282837,0.0,-0.9350713602244826,0.0,0.0,-0.8253849646750561,0.0,0.0,0.1284155925884608,0.0,0.0,0.0,0.0
Israel,0.9485,0,-0.3012850536013954,-0.5076095585383356,-0.7839321734001246,-0.8779292003087065,0.8167765859258233,-0.6935220973120667,-0.7244282060578617,-0.95064508689516,-0.9348596221912029,-0.9478130394330727,0.6801668100282232,-0.8175556294622421,0.9256065640643955,0.0,0.0,-0.9634848472826149,-0.7293295586722037,0.0,0.0,-0.8885093885924781,-0.955122100704371,0.2798061298679584,-0.8714977769789848,0.6328679238869349,-0.9866577736201041,-0.988025265172766,0.0,-0.2272635411469634,-0.8444814608487395,0.9355363045876521,0.981581428255216,-0.9880308692261962,0.9691358218847832,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.7923,12,-0.8648604362812797,-0.7169159356397251,-0.6576678022116464,-0.840002708946681,-0.34550716330993203,0.8641316573797267,-0.966489826148315,-0.07893161929704642,0.0,0.0,-0.8039241815297543,0.0,0.0,-0.9605865358328436,-0.9656804154812602,-0.7271939229569492,-0.9463282801588699,0.0,0.0,0.5454552674911918,0.0,0.0,0.6766442696061256,0.0,0.8938508336920343,0.8228709789865056,0.7402383261832121,-0.18786229048289207,0.9122310326876854,0.9314226637315368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,0.9536,14,-0.9186178792660684,-0.7768384028198994,-0.6463710746212321,-0.9984919387159105,-0.6673231207149611,-0.9190415769319781,-0.972818639723306,-0.6546545274500319,0.15608471041624306,0.26799222541557227,-0.5708682166732538,-0.44563431367603445,-0.2899278854976587,-0.835065062483314,0.9390551649999592,0.7900482165820164,0.0,-0.9822307169276331,-0.5661281716497543,-0.7547561104662868,-0.8613821398495892,0.007400832718242416,-0.8660300487976265,0.44030903202185184,-0.7833209005172639,0.0,-0.8284175369420994,0.9254966262981735,-0.7296232852646135,0.9288756688724419,0.0,-0.7596299368385695,0.0,0.0,0.0,0.0,0.0,0.0
