Country,R2,shift,C1_School closing,C1_School closing_Flag,C2_Workplace closing,C2_Workplace closing_Flag,C3_Cancel public events,C3_Cancel public events_Flag,C4_Restrictions on gatherings,C4_Restrictions on gatherings_Flag,C5_Close public transport,C5_Close public transport_Flag,C6_Stay at home requirements,C6_Stay at home requirements_Flag,C7_Restrictions on internal movement,C7_Restrictions on internal movement_Flag,C8_International travel controls,E1_Income support,E1_Income support_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Public information campaigns_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Facial Coverings_Flag,H7_Vaccination policy,H7_Vaccination policy_Flag,H8_Protection of elderly people,H8_Protection of elderly people_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary)
Austria,0.9573,0,0.002263036,0.009319266,0.006416977,0.003714463,0.00815883,0.004118923,0.004858883,0.001869946,0.001754634,0.002188521,0.003604235,0.007475422,0.005578759,0,0,0.019505309,0.00658582,0.005210134,0.146998103,0.006377952,0.001713387,0.003583046,0.004267381,0.002197464,0.002782194,0.000923513,0.000187616,0.008891022,0.071065186,0.067150313,0,0.051934872,0,0,0,0,0,0
Cyprus,0.9076,1,0.00100298,0.000763789,0.002321189,0.003313939,0.000725026,0.001415539,0.000551303,0.000600263,0.001179992,0,0,0,0,0,0.106669521,0,0.009926899,0.007476596,0.034781989,0.001170736,0.001398853,0.00543971,0.003097257,0,0.000896702,0.000366599,0,0.006791643,0.009128035,0.038547038,0.004763462,0.041212153,0,0,0,0,0,0
Nigeria,0.9607,2,0,0,0,0,0.0444356,0.008118622,0.007286152,0.005958437,0,0,0,0,0,0.057587023,0,0,0,0,0,0.00110672,0,0,0,0,0,0.006902588,0.00181351,0,0,0,0,0,0,0,0,0,0,0
Romania,0.9846,2,0.005569953,0.004545846,0.008652163,0.004664496,0.009581141,0.010295598,0.009904893,0.004433758,0.002264861,0.005512507,0.001677513,0.005850212,0.001492116,0.005559262,0.012509763,0,0,0.180133132,0.137208728,0.00933008,0.013151778,0.000933467,0.017488576,0.005705162,0.010822518,0.012257829,0.004540284,0,0,0.02303662,0.060687883,0.012731594,0.023453271,0,0,0,0,0
Colombia,0.9823,17,0.000697497,0.003606097,0.001142154,0.000288212,0.00150748,0.000120029,0.005044584,0.000867256,0.002610749,0.002162015,0.003425682,0.005489078,0.00776018,0.001062764,0.000432017,0,0,0.00079084,0,0.001140541,0.00075891,0.013421665,0.007319512,0.001345673,0.011418719,0.002873826,0.00226972,0.00176087,0.001770601,0.001930734,0,0.003102683,0.001178877,0,0.013103791,0.000841045,0.002103727,0
Argentina,0.9629,19,0.0017258,0.001079679,0.000225022,4.16E-06,0.000394845,0.000389578,0.000801053,0.000221419,0.003450471,0.000820285,0.004085411,0.001225512,0.005254835,0.001987951,0.000441141,0.000321755,0,0,0.029716256,0.000333093,0.00161144,0.007403074,0,0.002506501,0.003832116,0.001932884,0.000601851,0.001959018,0.000795661,0.003098095,0,0.00199605,2.78E-05,0,0.003451238,0.003009917,0,0
Burkina Faso,0.7119,19,0.00577987,0.00019575,3.15E-05,0.000985701,0.00468862,0.003237692,0.000349257,0.00279432,0,0.010504491,8.36E-07,0.000547188,0,0,5.57E-05,0,0,0,0,0,0.001939811,0.000174709,0.001536182,0,0.006658775,4.02E-05,0,0.005155007,0,0,0,0,0,0,0,0,0,0
Guatemala,0.915,3,0.014420986,0.001779982,9.96E-05,1.25E-05,0.000174699,0,0,0.000273835,0.000628568,0.001087977,0.053961808,0,0,0.00029371,0,0.002313318,0,0.002982477,5.92E-05,0,0.075306019,0.002074879,0.000261506,0,4.76E-06,3.26E-05,0,3.51E-05,0,0,0.00172825,0,0,0.000329561,0,0,0,0
Israel,0.9485,0,0.002503254,0.001040296,0.001558339,0.000905844,0.00098552,0.002040369,0.015544813,0.001546079,0.002385579,0.001826111,0.000782319,0.010101841,0.001752162,0,0,0.004554119,0.003720004,0.002536603,0.099663432,0.009971053,0.005593275,0.001647668,0.00284921,0.001695959,0.007548866,0.008079241,0,0.003467262,0.001553321,0.152216381,0.007810164,0.05586846,0.010218687,0,0,0,0,0
Luxembourg,0.7923,12,0.00162874,0.001706892,0.001050044,0.002102934,0.003550606,0.000561627,0.001879485,0.000642464,0,0,0.001901293,0,0,0.003060926,0.002569,0.003142477,0.00324049,0.003954168,0.002034259,0.002191994,0,0.001120967,0.002482588,0,1.42E-05,0.000736579,0.001609094,0.005709151,0.022778303,0.002493071,0,0,0,0,0,0,0,0
Spain,0.9536,14,0.011814019,0.008397356,0.013514017,0.019798589,0.002458039,0.007391234,3.08E-05,0.000241914,0.00016303,0.000159318,0.002867309,0.002462042,0.003333588,0.007009412,0.021608036,0.035773453,0,0.000322074,7.66E-05,0.005646708,0.003466706,0.000461311,0.000545794,0.000241875,0.00043155,0,0.086771263,0.00012004,0.029940492,0.000669412,0,0.000414629,0,0,0,0,0,0
Myanmar,0.9508,3,0.001148452,0.000774668,0.009259874,0.000924336,0.00388253,0.006312644,0.026912497,0.010843517,0.000537666,0.010689938,0.00811705,0.0053275,0,0.000377558,0.009069669,0.001219425,0.001606388,0.005736025,0.001301673,0.000347454,0.000678582,0.000233119,0.001068693,0.000379257,0,0.000592863,0.007807917,0.000243276,0.000579234,0.004755928,0.009828347,0,0,0.002080422,0.00152111,0.011521236,0.001958894,0
Ghana,0.9613,9,0.00030368,0.001766198,0.000487384,0.005471518,0.015957044,0,1.90E-05,0,0.00167363,0,0,0.001790891,0.00067245,7.40E-06,5.70E-05,0,2.80E-06,0.00027226,0.03705405,0.000108806,0,0.001225225,0,0,0,0.026005303,0,0.003594102,0,0,0,0,0,0,0,0,0,0
Mozambique,0.8347,18,0.000639322,0.006804862,0,0,0,0.000739282,0.002226806,0.000587833,0.000661899,0.000978318,0,0,0,0,0,1.91E-05,0.000611837,0,0.011517169,0.004871676,0.002015462,0.002279548,0.007048399,0.003905787,0.00077358,0.001166438,0.004252024,0.004353327,0,0.009522689,9.39E-05,0.004813339,0.005241087,0,0,0,0,0
Rwanda,0.7972,6,1.82E-05,0.000329813,0.002988415,0,0.034722026,0.000702966,0.000289545,0.000753123,0.000270983,0.000157486,0.000495573,0,0,0.02762482,0,0.003287327,0.000139358,0.020181283,0.000185832,0.000749244,0,0.017795543,0,0,0.015526356,0,0,0,1.62E-06,0,0,0,0,0,0,0,0,0
Liechtenstein,0.6003,0,0.001012299,0.000942708,0.000681353,0.000101755,0,0.004335427,0.001015802,0.004507142,0.001252303,0.002947644,0.002941955,0.001285852,0.000594871,0.00319789,0,0.000400356,0.000101381,0.000744923,0,0.003532268,0,4.94E-05,0.002383416,0,0.00072056,0.004318474,0.002612669,0.000368528,0.003281959,0,0,0,0,0,0,0,0,0
Yemen,0.8749,7,0.018561344,0.003584629,0.006835579,0,0,0,0,0.009789773,0.011407838,0.004697266,0.003352021,0.002762883,0,0,0,0,0,0.003924129,0.014786524,0.001974649,0.010564252,0,0,0,0,0.001214185,0.008070527,0.056333163,0.008908664,0.000571105,0.00192781,0.016153342,0.001582524,1.66E-05,0,0,0,0
Djibouti,0.4266,17,0.002468592,0,0,0,0.002328853,0.001466438,0.000926114,0,0,0,0,0.000403653,0.005568041,0,0,0,0.000681357,0.00011032,0,0.001447314,0.000343821,0.002047571,0.001085751,0.011167988,0.000492985,0.000571334,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0.8417,7,0,0.04935098,0,0.083184169,0,0.001152997,0.006813764,0,0,0,0,0,0,0,0,0.022486866,0,0,0,0.004957559,0,0,0,0,0,0,0,0.013906489,0,0,0,0,0,0,0,0,0,0
Honduras,0.8458,0,0.001020864,0,0,0.005114168,0.008870014,0.019194453,0.021891376,0.007249068,0,0,9.00E-06,0,0.023272472,0.002349929,0.009929958,0.000957366,0.00360585,0.002941378,0.003632683,0.002246432,0.001030397,0.000598382,0.002748057,0.005273341,0,0.011533721,0,0.001171134,0.001856702,0.000165708,0,0.053472885,0.001286154,0.06774972,0.00430206,0.00435517,0,0
Andorra,0.8798,3,0,0,0.004513862,0,0,0,0,0.01655268,0,0.010399007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011356553,0,0,0,0.00239942,0,0,0,0,0,0,0
Bosnia and Herzegovina,0.9489,0,0,0,0,0,0.001182342,0,0.001496558,0.000766657,0.03573915,7.04E-05,0.007251635,7.20E-05,0.001038736,0.000692734,2.86E-05,0.034692507,0.047420121,0,0,7.52E-05,0.002661161,9.03E-05,0.000255455,0,0.001156582,7.02E-05,0,3.01E-05,0,0,3.02E-05,0,0.275750741,0.023142509,0,0,0,0
