Country,R2,shift,C1_School closing,C1_School closing_Flag,C2_Workplace closing,C2_Workplace closing_Flag,C3_Cancel public events,C3_Cancel public events_Flag,C4_Restrictions on gatherings,C4_Restrictions on gatherings_Flag,C5_Close public transport,C5_Close public transport_Flag,C6_Stay at home requirements,C6_Stay at home requirements_Flag,C7_Restrictions on internal movement,C7_Restrictions on internal movement_Flag,C8_International travel controls,E1_Income support,E1_Income support_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Public information campaigns_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Facial Coverings_Flag,H7_Vaccination policy,H7_Vaccination policy_Flag,H8_Protection of elderly people,H8_Protection of elderly people_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary)
Austria,0.9573,0,-0.577370826,-0.473298393,-0.814591243,-0.934235431,-0.754106537,-0.477573188,-0.699556685,-0.484054007,-0.646820971,-0.775781717,-0.968690787,0.313322276,0.296935428,0,0,-0.625828828,-0.998355242,0,0,-0.576487273,-0.759648729,0.014544749,0.801977356,0.631749459,-0.865115554,-0.761116136,-0.926798888,0.16938136,0.926374704,0.954791565,0,-0.982611991,0,0,0,0,0,0
Cyprus,0.9076,1,0.498472479,0.910633575,-0.822450689,-0.974593801,-0.88481103,-0.967079602,-0.057804094,-0.927219124,0.927625324,0,0,0,0,0,0,0,0,0,0,-0.955192023,-0.98913424,0,-0.973283933,0,-0.916448714,0.84103916,0,0.788879282,-0.932658978,0.957565523,0.964411555,0.959321839,0,0,0,0,0,0
Nigeria,0.9607,2,0,0,0,0,-0.901790992,-0.246841439,-0.091246609,0.614911849,0,0,0,0,0,-0.217423991,0,0,0,0,0,0.140195927,0,0,0,0,0,-0.953672092,-0.388093593,0,0,0,0,0,0,0,0,0,0,0
Romania,0.9846,2,-0.813939002,-0.669737437,-0.956945027,-0.730297178,-0.971030995,-0.894994855,-0.978961889,-0.816377562,-0.461122853,-0.920523289,-0.881323673,-0.97777154,-0.818580051,-0.842801773,-0.989409933,0,0,0,0,-0.915620688,-0.954244908,-0.027487034,-0.848507997,-0.906839193,0.97515425,-0.977437687,-0.65066035,0,0,-0.909855113,-0.985573541,-0.971629833,0.940142458,0,0,0,0,0
Colombia,0.9823,17,0.821399666,0.809206795,0.97555917,-0.491329884,0.102246812,0.539897428,-0.995738317,-0.421451249,-0.742702315,0.373067986,0.782517079,-0.921250682,-0.951291191,-0.92257184,-0.745294767,0,0,0,0,0.072412028,-0.937900317,0,0.588143197,0.068324789,-0.901886708,-0.990287929,0.935655603,-0.935414712,-0.920344151,-0.872535122,0,-0.886999298,0.924713346,0,0.997927947,-0.87302445,0.980022313,0
Argentina,0.9629,19,0.644247323,0.657388741,-0.12671959,-0.70391068,-0.977516757,-0.846438332,-0.514928041,-0.886578875,0.546005214,-0.740671343,0.699529666,-0.87617871,0.842156449,-0.941415139,-0.779345174,-0.719023196,0,0,0,0.248128607,-0.962508203,0.940329163,0,-0.953447093,-0.930825634,0.980023325,0.658557431,0,-0.902843242,-0.947451141,0,0.889009082,-0.819822392,0,0.95617412,-0.935093011,0,0
Burkina Faso,0.7119,19,0.458961995,-0.893067585,-0.945889303,-0.335194576,-0.743950859,-0.887028163,0.903544636,-0.635383786,0,-0.926343438,-0.922563841,0.673914872,0,0,-0.989042368,0,0,0,0,0,0.880828039,0,0.428344559,0,0.630825126,0.374772366,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.915,3,-0.225209897,-0.382377232,0.646320775,0.907838795,-0.24566922,0,0,0.727403694,0.567655997,-0.850040974,-0.728239269,0,0,-0.235993057,0,0.032651524,0,0,0,0,-0.871821341,0,-0.864558734,0,-0.916229227,-0.93987447,0,-0.93507136,0,0,-0.825384965,0,0,0.128415593,0,0,0,0
Israel,0.9485,0,-0.301285054,-0.507609559,-0.783932173,-0.8779292,0.816776586,-0.693522097,-0.724428206,-0.950645087,-0.934859622,-0.947813039,0.68016681,-0.817555629,0.925606564,0,0,-0.963484847,-0.729329559,0,0,-0.888509389,-0.955122101,0.27980613,-0.871497777,0.632867924,-0.986657774,-0.988025265,0,-0.227263541,-0.844481461,0.935536305,0.981581428,-0.988030869,0.969135822,0,0,0,0,0
Luxembourg,0.7923,12,-0.864860436,-0.716915936,-0.657667802,-0.840002709,-0.345507163,0.864131657,-0.966489826,-0.078931619,0,0,-0.803924182,0,0,-0.960586536,-0.965680415,-0.727193923,-0.94632828,0,0,0.545455267,0,0,0.67664427,0,0.893850834,0.822870979,0.740238326,-0.18786229,0.912231033,0.931422664,0,0,0,0,0,0,0,0
