Country,R2,shift,C1_School closing,C1_School closing_Flag,C2_Workplace closing,C2_Workplace closing_Flag,C3_Cancel public events,C3_Cancel public events_Flag,C4_Restrictions on gatherings,C4_Restrictions on gatherings_Flag,C5_Close public transport,C5_Close public transport_Flag,C6_Stay at home requirements,C6_Stay at home requirements_Flag,C7_Restrictions on internal movement,C7_Restrictions on internal movement_Flag,C8_International travel controls,E1_Income support,E1_Income support_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Public information campaigns_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Facial Coverings_Flag,H7_Vaccination policy,H7_Vaccination policy_Flag,H8_Protection of elderly people,H8_Protection of elderly people_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary)
Austria,0.9573,0,0.001158916,-0.007405419,-0.005103521,-0.001509115,-0.007548367,-0.001959217,-0.003117555,-0.00107071,-0.000975606,0.001204914,-0.000733478,-0.007475422,-0.005578759,0,0,-0.010211415,-0.002259935,0.005210134,0.146998103,-0.005559008,-0.001365867,-0.003583046,-0.000974995,-0.002143757,-0.000577944,-0.000183599,-6.67E-05,-0.008891022,0.067161507,0.05760317,0,0.0488587,0,0,0,0,0,0
Cyprus,0.9076,1,0.00100298,-0.000256421,0.001782381,0.003241895,-0.00064539,0.000923147,-0.000116332,0.000183381,-0.001028076,0,0,0,0,0,0.106669521,0,0.009926899,0.007476596,0.034781989,-0.000875875,-0.000831432,-0.00543971,-0.000274852,0,0.000784636,6.22E-05,0,0.006753124,0.007573185,0.030817408,0.003097056,0.038989953,0,0,0,0,0,0
Nigeria,0.9607,2,0,0,0,0,-0.005727506,0.006355096,-0.003903226,-3.47E-05,0,0,0,0,0,0.001177664,0,0,0,0,0,-0.00110672,0,0,0,0,0,0.001029578,-0.000858656,0,0,0,0,0,0,0,0,0,0,0
Romania,0.9846,2,0.00143899,0.001245012,0.000453596,0.001293379,-0.002710181,-0.001868926,-0.002754744,0.003829784,0.002253699,0.001246537,0.000584164,0.00139508,0.000559316,0.003419775,0.012509763,0,0,0.180133132,0.137208728,-0.005903085,-0.002765474,0.000362277,-0.002788407,-0.004116802,0.003876711,-0.0010985,-0.002587355,0,0,0.003929079,0.055998466,0.006713705,0.009561228,0,0,0,0,0
Colombia,0.9823,17,-2.29E-05,0.000627075,-2.54E-05,-3.42E-05,0.00150592,7.20E-05,0.003531978,-0.000521451,0.002610749,0.000229725,0.002878901,0.005489078,0.007285738,0.000447336,-0.000332326,0,0,-0.00079084,0,0.001136781,-0.000341447,0.013421665,0.001882742,0.001311005,-0.001310426,-0.000861213,-0.001040764,-0.001199227,-0.000718512,-0.000237225,0,-0.001175839,0.000781359,0,0.002460225,0.000156177,0.000726867,0
Argentina,0.9629,19,0.00015629,0.000525491,0.000127649,-2.22E-06,3.19E-05,-7.22E-06,0.000791068,2.35E-05,-0.000450299,0.000383902,-0.000607568,0.000625568,0.000598407,0.001938455,0.000245656,0.000290113,0,0,0.029716256,-0.000218718,-0.00060583,-0.007308863,0,-0.001889248,0.000382412,0.000856831,5.04E-06,0.001959018,0.000201019,0.000315425,0,0.00174564,-8.95E-06,0,0.00301109,0.001084724,0,0
Burkina Faso,0.7119,19,-0.004878844,-9.12E-05,1.97E-06,-0.000975037,0.002426146,0.001067625,-0.000144459,0.002655486,0,0.004997207,8.36E-07,-0.000523624,0,0,2.50E-05,0,0,0,0,0,-0.001918189,0.000174709,-0.001291536,0,-0.004883333,-3.55E-05,0,0.005155007,0,0,0,0,0,0,0,0,0,0
Guatemala,0.915,3,-0.014420986,0.001581953,8.09E-05,2.81E-06,-0.000174699,0,0,-0.000222339,0.000102587,-0.000135715,0.042662353,0,0,0.000284167,0,-0.002313318,0,-0.002982477,-5.92E-05,0,-0.020908881,0.002074879,-0.000182876,0,2.69E-07,2.45E-05,0,1.26E-05,0,0,0.001244445,0,0,0.000329561,0,0,0,0
Israel,0.9485,0,0.001955441,0.000642964,0.001204991,9.72E-05,0.00059825,0.001985824,0.015544813,0.001165241,0.002128241,0.001363452,0.000782319,-0.010101841,-1.57E-05,0,0,-0.002545078,0.000160651,-0.002536603,0.099663432,0.005028858,-0.002947148,-0.001637457,0.000142848,-0.001125435,-0.002093662,-0.001419916,0,0.003467262,-0.001333407,0.130577238,-0.000566339,0.05525217,0.003336631,0,0,0,0,0
Luxembourg,0.7923,12,0.00147219,0.001643712,0.000974735,0.001808704,0.003550606,0.000349475,0.001194545,-0.000570251,0,0,0.001901293,0,0,0.000757851,0.000232663,0.002016043,5.55E-05,0.003954168,0.002034259,-0.002191994,0,-0.001120967,0.000351646,0,8.20E-06,0.000318365,0.000490746,0.005709151,0.020564506,-0.000422246,0,0,0,0,0,0,0,0
